         2908455 function calls (2866976 primitive calls) in 5.104 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    445/1    0.004    0.000    5.170    5.170 {built-in method builtins.exec}
        1    0.018    0.018    5.170    5.170 __main__.py:1(<module>)
      284    0.114    0.000    2.383    0.008 create.py:97(create_html_file)
      100    0.052    0.001    1.598    0.016 __main__.py:138(<listcomp>)
     9776    0.206    0.000    1.394    0.000 <frozen ntpath>:741(relpath)
      376    0.005    0.000    1.097    0.003 environment.py:1164(__new__)
      376    0.003    0.000    1.092    0.003 environment.py:1089(from_string)
      376    0.004    0.000    1.072    0.003 environment.py:728(compile)
    19856    0.240    0.000    0.728    0.000 <frozen ntpath>:107(join)
   145171    0.472    0.000    0.615    0.000 <frozen ntpath>:154(splitdrive)
    10062    0.032    0.000    0.602    0.000 environment.py:1272(render)
      376    0.003    0.000    0.480    0.001 environment.py:615(_parse)
    10062    0.013    0.000    0.449    0.000 environment.py:1378(new_context)
    10062    0.115    0.000    0.436    0.000 runtime.py:93(new_context)
      948    0.420    0.000    0.424    0.000 {built-in method io.open}
      376    0.002    0.000    0.405    0.001 environment.py:679(_generate)
      376    0.003    0.000    0.403    0.001 compiler.py:101(generate)
      376    0.003    0.000    0.400    0.001 parser.py:1037(parse)
13309/376    0.030    0.000    0.392    0.001 visitor.py:35(visit)
      376    0.024    0.000    0.388    0.001 compiler.py:829(visit_Template)
       89    0.003    0.000    0.386    0.004 create.py:25(create_css_file)
24141/16314    0.134    0.000    0.385    0.000 {built-in method builtins.next}
  377/376    0.019    0.000    0.357    0.001 parser.py:988(subparse)
    79973    0.169    0.000    0.292    0.000 <frozen ntpath>:51(normcase)
     6413    0.011    0.000    0.257    0.000 lexer.py:380(__next__)
     6413    0.030    0.000    0.239    0.000 lexer.py:615(wrap)
      374    0.004    0.000    0.219    0.001 __init__.py:1479(info)
      374    0.003    0.000    0.214    0.001 __init__.py:1610(_log)
  328/109    0.022    0.000    0.213    0.002 <frozen os>:345(_walk)
      431    0.186    0.000    0.186    0.000 {built-in method builtins.compile}
      376    0.001    0.000    0.183    0.000 environment.py:700(_compile)
     9245    0.079    0.000    0.181    0.000 lexer.py:669(tokeniter)
    10743    0.110    0.000    0.180    0.000 <frozen ntpath>:208(split)
    10070    0.010    0.000    0.174    0.000 <frozen ntpath>:242(basename)
     93/5    0.001    0.000    0.173    0.035 <frozen importlib._bootstrap>:1165(_find_and_load)
     93/5    0.001    0.000    0.173    0.035 <frozen importlib._bootstrap>:1120(_find_and_load_unlocked)
     88/6    0.001    0.000    0.168    0.028 <frozen importlib._bootstrap>:666(_load_unlocked)
       88    0.007    0.000    0.168    0.002 classes.py:28(paginate_board)
     67/5    0.000    0.000    0.168    0.034 <frozen importlib._bootstrap_external>:934(exec_module)
   191/13    0.000    0.000    0.162    0.012 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
      374    0.001    0.000    0.158    0.000 __init__.py:1636(handle)
      374    0.004    0.000    0.156    0.000 __init__.py:1690(callHandlers)
      748    0.004    0.000    0.152    0.000 __init__.py:965(handle)
      296    0.004    0.000    0.152    0.001 <frozen os>:200(makedirs)
        6    0.000    0.000    0.145    0.024 __init__.py:1(<module>)
      748    0.005    0.000    0.144    0.000 __init__.py:1098(emit)
     1219    0.143    0.000    0.143    0.000 {method 'write' of '_io.TextIOWrapper' objects}
    48538    0.073    0.000    0.135    0.000 nodes.py:169(iter_child_nodes)
    10062    0.057    0.000    0.133    0.000 runtime.py:165(__init__)
     1042    0.131    0.000    0.131    0.000 {method '__exit__' of '_io._IOBase' objects}
    14790    0.060    0.000    0.131    0.000 {method 'join' of 'str' objects}
    19554    0.027    0.000    0.129    0.000 <frozen ntpath>:570(abspath)
     1414    0.006    0.000    0.126    0.000 parser.py:680(parse_tuple)
   433155    0.120    0.000    0.120    0.000 {built-in method builtins.isinstance}
     1413    0.002    0.000    0.118    0.000 parser.py:515(parse_expression)
     1412    0.003    0.000    0.116    0.000 parser.py:524(parse_condexpr)
    20124    0.071    0.000    0.113    0.000 __init__.py:1014(__iter__)
    39106    0.059    0.000    0.112    0.000 <frozen ntpath>:538(normpath)
      967    0.110    0.000    0.110    0.000 {built-in method nt.stat}
     1413    0.003    0.000    0.109    0.000 parser.py:539(parse_or)
7928/1136    0.021    0.000    0.108    0.000 visitor.py:44(generic_visit)
       89    0.002    0.000    0.105    0.001 create.py:33(create_js_file)
        1    0.000    0.000    0.103    0.103 create.py:1(<module>)
     1413    0.003    0.000    0.102    0.000 parser.py:548(parse_and)
     1413    0.003    0.000    0.095    0.000 parser.py:557(parse_not)
11914/1135    0.027    0.000    0.095    0.000 nodes.py:195(find_all)
    10062    0.024    0.000    0.094    0.000 <frozen ntpath>:231(splitext)
     1417    0.002    0.000    0.092    0.000 lexer.py:403(expect)
  377/376    0.001    0.000    0.090    0.000 compiler.py:442(blockvisit)
     1413    0.005    0.000    0.088    0.000 parser.py:563(parse_compare)
    70434    0.028    0.000    0.088    0.000 <frozen _collections_abc>:835(__iter__)
      378    0.020    0.000    0.084    0.000 compiler.py:1482(visit_Output)
   245094    0.079    0.000    0.079    0.000 {method 'replace' of 'str' objects}
      376    0.002    0.000    0.078    0.000 parser.py:53(__init__)
     1413    0.002    0.000    0.075    0.000 parser.py:586(parse_math1)
      376    0.003    0.000    0.074    0.000 environment.py:658(_tokenize)
     1413    0.003    0.000    0.072    0.000 parser.py:597(parse_concat)
    60372    0.069    0.000    0.069    0.000 __init__.py:1000(__getitem__)
     1413    0.002    0.000    0.069    0.000 parser.py:607(parse_math2)
   324680    0.067    0.000    0.067    0.000 {built-in method nt.fspath}
     1413    0.002    0.000    0.066    0.000 parser.py:618(parse_pow)
     1413    0.005    0.000    0.064    0.000 parser.py:628(parse_unary)
    79973    0.064    0.000    0.064    0.000 {built-in method _winapi.LCMapStringEx}
    10062    0.041    0.000    0.063    0.000 <frozen genericpath>:121(_splitext)
      296    0.061    0.000    0.061    0.000 {built-in method nt.mkdir}
    17221    0.059    0.000    0.059    0.000 {method 'match' of 're.Pattern' objects}
        1    0.000    0.000    0.057    0.057 environment.py:1(<module>)
     1415    0.006    0.000    0.056    0.000 parser.py:646(parse_primary)
     8378    0.012    0.000    0.054    0.000 compiler.py:467(writeline)
      376    0.002    0.000    0.052    0.000 lexer.py:604(tokenize)
      374    0.001    0.000    0.050    0.000 __init__.py:1216(emit)
      376    0.004    0.000    0.049    0.000 lexer.py:325(__init__)
    19554    0.048    0.000    0.048    0.000 {built-in method nt._getfullpathname}
      308    0.001    0.000    0.045    0.000 <frozen genericpath>:16(exists)
      377    0.001    0.000    0.045    0.000 idtracking.py:46(analyze_node)
       67    0.001    0.000    0.044    0.001 <frozen importlib._bootstrap_external>:1007(get_code)
      376    0.003    0.000    0.044    0.000 compiler.py:538(pull_dependencies)
184521/183992    0.043    0.000    0.043    0.000 {built-in method builtins.len}
       91    0.001    0.000    0.043    0.000 <frozen importlib._bootstrap>:1054(_find_spec)
      473    0.038    0.000    0.042    0.000 {method 'read' of '_io.TextIOWrapper' objects}
      376    0.001    0.000    0.040    0.000 idtracking.py:178(_simple_visit)
       76    0.000    0.000    0.040    0.001 <frozen importlib._bootstrap_external>:1499(find_spec)
       76    0.001    0.000    0.040    0.001 <frozen importlib._bootstrap_external>:1467(_get_spec)
      287    0.001    0.000    0.039    0.000 <frozen genericpath>:39(isdir)
      377    0.002    0.000    0.038    0.000 compiler.py:142(find_undeclared)
      748    0.001    0.000    0.038    0.000 __init__.py:942(format)
    55485    0.031    0.000    0.038    0.000 nodes.py:147(iter_fields)
      193    0.002    0.000    0.038    0.000 <frozen importlib._bootstrap_external>:1607(find_spec)
      262    0.001    0.000    0.037    0.000 __init__.py:272(_compile)
      376    0.007    0.000    0.037    0.000 nodes.py:231(set_environment)
       92    0.001    0.000    0.037    0.000 <frozen ntpath>:256(islink)
      748    0.005    0.000    0.037    0.000 __init__.py:674(format)
       92    0.036    0.000    0.036    0.000 {built-in method nt.lstat}
    39106    0.036    0.000    0.036    0.000 {built-in method nt._path_normpath}
       67    0.000    0.000    0.036    0.001 __init__.py:225(compile)
     3961    0.028    0.000    0.036    0.000 nodes.py:129(__init__)
       48    0.000    0.000    0.035    0.001 _compiler.py:740(compile)
      374    0.002    0.000    0.035    0.000 __init__.py:1595(makeRecord)
      376    0.001    0.000    0.035    0.000 nodes.py:186(find)
        1    0.000    0.000    0.034    0.034 bccache.py:1(<module>)
    12622    0.026    0.000    0.034    0.000 compiler.py:453(write)
      374    0.011    0.000    0.033    0.000 __init__.py:292(__init__)
  360/357    0.005    0.000    0.033    0.000 {built-in method builtins.__build_class__}
      372    0.000    0.000    0.029    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
     3964    0.004    0.000    0.029    0.000 {method 'extend' of 'collections.deque' objects}
      748    0.004    0.000    0.028    0.000 __init__.py:1087(flush)
      6/3    0.000    0.000    0.026    0.009 {built-in method builtins.__import__}
    40471    0.023    0.000    0.023    0.000 {built-in method fromkeys}
      101    0.023    0.000    0.023    0.000 {built-in method nt.scandir}
    31/25    0.000    0.000    0.022    0.001 <frozen importlib._bootstrap>:1207(_handle_fromlist)
      748    0.005    0.000    0.022    0.000 __init__.py:606(formatTime)
        1    0.000    0.000    0.022    0.022 loader.py:1(<module>)
        1    0.000    0.000    0.022    0.022 classes.py:1(<module>)
    13309    0.013    0.000    0.021    0.000 visitor.py:28(get_visitor)
        2    0.000    0.000    0.021    0.011 nodes.py:1(<module>)
    28227    0.020    0.000    0.020    0.000 {method 'split' of 'str' objects}
      748    0.019    0.000    0.019    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
     1790    0.002    0.000    0.019    0.000 lexer.py:598(_normalize_newlines)
     5654    0.005    0.000    0.019    0.000 lexer.py:376(skip_if)
     1878    0.018    0.000    0.018    0.000 {method 'sub' of 're.Pattern' objects}
      374    0.004    0.000    0.018    0.000 __init__.py:1561(findCaller)
      376    0.018    0.000    0.018    0.000 {method 'split' of 're.Pattern' objects}
       48    0.000    0.000    0.018    0.000 _compiler.py:573(_code)
    10062    0.012    0.000    0.018    0.000 <frozen _collections_abc>:786(keys)
       96    0.000    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:1127(get_data)
        1    0.000    0.000    0.017    0.017 utils.py:1(<module>)
    10438    0.013    0.000    0.017    0.000 nodes.py:76(__init__)
     9776    0.016    0.000    0.016    0.000 <frozen ntpath>:769(<listcomp>)
       48    0.000    0.000    0.016    0.000 _parser.py:979(parse)
     9901    0.013    0.000    0.016    0.000 lexer.py:277(test)
     9776    0.016    0.000    0.016    0.000 <frozen ntpath>:770(<listcomp>)
   174/48    0.001    0.000    0.016    0.000 _parser.py:456(_parse_sub)
    45943    0.016    0.000    0.016    0.000 {built-in method builtins.getattr}
    30461    0.016    0.000    0.016    0.000 {method 'rfind' of 'str' objects}
   295/50    0.006    0.000    0.016    0.000 _parser.py:516(_parse)
      376    0.002    0.000    0.015    0.000 environment.py:1213(from_code)
        1    0.000    0.000    0.015    0.015 tempfile.py:1(<module>)
     5654    0.005    0.000    0.014    0.000 lexer.py:367(next_if)
    20408    0.014    0.000    0.014    0.000 runtime.py:229(resolve_or_missing)
        1    0.000    0.000    0.014    0.014 log_utils.py:1(<module>)
    40316    0.014    0.000    0.014    0.000 {method 'update' of 'dict' objects}
        8    0.000    0.000    0.013    0.002 create.py:61(create_index_file)
      377    0.001    0.000    0.013    0.000 <frozen ntpath>:249(dirname)
    10062    0.008    0.000    0.013    0.000 __init__.py:1023(__bool__)
